litterbag_id,block,burn_status,plot_name,proportion_ecm_ba,topographic_position,litter_type,initial_litter_mass_g,days_deployed,proportion_litter_remaining
419,2,unburned,2U6,0.57,low elevation,ECM,3.51,178,0.5014
420,2,unburned,2U6,0.57,low elevation,ECM,3.52,178,0.4347
421,2,unburned,2U6,0.57,low elevation,ECM,3.46,273,0.4104
422,2,unburned,2U6,0.57,low elevation,ECM,3.52,1128,0.0597
423,2,unburned,2U6,0.57,low elevation,ECM,3.49,1128,0.0201
424,2,unburned,2U6,0.57,low elevation,ECM,3.51,273,0.4558
425,3,burned,3B4,0.89,ridge,ECM,3.5,1122,0.1
426,3,burned,3B4,0.89,ridge,ECM,3.5,293,0.4443
427,3,burned,3B4,0.89,ridge,ECM,3.5,293,0.322
428,3,burned,3B4,0.89,ridge,ECM,3.5,171,0.4829
429,3,burned,3B4,0.89,ridge,ECM,3.51,171,0.6296
430,3,burned,3B4,0.89,ridge,ECM,3.49,94,0.8195
431,3,burned,3B4,0.89,ridge,ECM,3.5,94,0.8286
433,3,burned,3B4,0.89,ridge,ECM,3.49,1122,0.0143
434,3,burned,3B4,0.89,ridge,ECM,3.49,171,0.4957
435,3,burned,3B4,0.89,ridge,ECM,3.5,94,0.82
436,3,burned,3B4,0.89,ridge,ECM,3.48,293,0.3491
437,3,burned,3B1,0.35,south-facing midslope,ECM,3.51,293,0.4809
438,3,burned,3B1,0.35,south-facing midslope,ECM,3.48,1122,0.0546
439,3,burned,3B1,0.35,south-facing midslope,ECM,3.49,293,0.4536
440,3,burned,3B1,0.35,south-facing midslope,ECM,3.48,94,0.8103
441,3,burned,3B1,0.35,south-facing midslope,ECM,3.49,293,0.4883
442,3,burned,3B1,0.35,south-facing midslope,ECM,3.5,94,0.7743
443,3,burned,3B1,0.35,south-facing midslope,ECM,3.5,171,0.4943
444,3,burned,3B1,0.35,south-facing midslope,ECM,3.51,1122,0.0541
445,3,burned,3B1,0.35,south-facing midslope,ECM,3.52,171,0.5057
446,3,burned,3B1,0.35,south-facing midslope,ECM,3.48,171,0.5115
447,3,burned,3B1,0.35,south-facing midslope,ECM,3.49,94,0.7765
448,3,burned,3B1,0.35,south-facing midslope,ECM,3.51,1122,0.0484
449,3,burned,3B2,0.5,low elevation,ECM,3.5,171,0.4914
450,3,burned,3B2,0.5,low elevation,ECM,3.51,94,0.7293
451,3,burned,3B2,0.5,low elevation,ECM,3.51,94,0.7521
452,3,burned,3B2,0.5,low elevation,ECM,3.49,171,0.4269
453,3,burned,3B2,0.5,low elevation,ECM,3.49,293,0.4126
454,3,burned,3B2,0.5,low elevation,ECM,3.49,1122,0.0143
455,3,burned,3B2,0.5,low elevation,ECM,3.49,293,0.4745
456,3,burned,3B2,0.5,low elevation,ECM,3.49,1122,0.0745
457,3,burned,3B2,0.5,low elevation,ECM,3.49,1122,0.0115
458,3,burned,3B2,0.5,low elevation,ECM,3.5,293,0.4686
459,3,burned,3B2,0.5,low elevation,ECM,3.5,171,0.5429
460,3,burned,3B2,0.5,low elevation,ECM,3.5,94,0.7686
461,2,unburned,2U8,0.92,ridge,ECM,3.5,266,0.4857
462,2,unburned,2U8,0.92,ridge,ECM,3.49,83,0.8023
463,2,unburned,2U8,0.92,ridge,ECM,3.49,83,0.7507
464,2,unburned,2U8,0.92,ridge,ECM,3.48,266,0.4828
466,2,unburned,2U8,0.92,ridge,ECM,3.5,266,0.5543
467,2,unburned,2U8,0.92,ridge,ECM,3.49,171,0.4957
468,2,unburned,2U8,0.92,ridge,ECM,3.5,171,0.3857
469,2,unburned,2U8,0.92,ridge,ECM,3.49,83,0.7393
471,2,unburned,2U8,0.92,ridge,ECM,3.49,171,0.553
473,2,burned,2B3,0.69,north-facing midslope,ECM,3.5,78,0.7914
474,2,burned,2B3,0.69,north-facing midslope,ECM,3.48,78,0.7701
475,2,burned,2B3,0.69,north-facing midslope,ECM,3.51,169,0.5726
476,2,burned,2B3,0.69,north-facing midslope,ECM,3.51,169,0.3989
477,2,burned,2B3,0.69,north-facing midslope,ECM,3.48,169,0.5747
478,2,burned,2B3,0.69,north-facing midslope,ECM,3.49,78,0.7679
479,2,burned,2B3,0.69,north-facing midslope,ECM,3.49,1110,0.0287
480,2,burned,2B3,0.69,north-facing midslope,ECM,3.51,1110,0.1197
481,2,burned,2B3,0.69,north-facing midslope,ECM,3.5,1110,0.0286
482,2,burned,2B3,0.69,north-facing midslope,ECM,3.5,288,0.3297
483,2,burned,2B3,0.69,north-facing midslope,ECM,3.48,288,0.3842
485,2,burned,2B3,0.69,north-facing midslope,ECM,3.52,288,0.5449
